name_customer,cust_number,doc_id,total_open_amount,due_in_date,paymentPredictedDate
LATIN corp,200122006,1930571357,30521.8,3/13/2020,3/14/2020
WEGMAN foundation,200711029,1930564675,7532.37,3/13/2020,3/21/2020
SAFEW corp,200772595,1930571010,95521.62,3/13/2020,3/9/2020
SYSCO F in,200763814,1930577848,37619.95,3/13/2020,3/14/2020
TARG in,200744019,1930567816,17691.32,3/13/2020,3/9/2020
WAL MA in,200501669,1990571118,12455.92,4/2/2020,3/24/2020
C&S WH ,200762301,1930570353,14012.83,3/13/2020,3/15/2020
WAL-MAR corporation,200769623,1930571314,8536.81,3/13/2020,3/8/2020
SYGMA llc,200782669,1930565299,17698.91,3/13/2020,3/8/2020
COST in,200794332,1930570656,30220.01,3/13/2020,3/15/2020
DOLLA ,200148860,1930555879,6956.14,3/13/2020,3/14/2020
SUGAR  llc,200712102,1930572469,21000.72,4/27/2020,3/28/2020
SYGMA us,200782669,1930570332,24701.97,3/13/2020,3/21/2020
WAL-MAR corp,200769623,1930576828,429.51,3/13/2020,3/13/2020
PEAC corporation,200397176,1930565189,28264.6,3/18/2020,3/14/2020
WINC foundation,200706844,1930567187,55706.36,3/13/2020,3/8/2020
MCL corp,200799367,1930549701,16579.6,3/13/2020,3/13/2020
COAS ,200337148,1930579948,986.4,3/13/2020,3/8/2020
FATH trust,200071186,1930566980,53566.92,3/13/2020,3/8/2020
BEN E systems,200980828,1930570488,72076.42,3/13/2020,3/13/2020
CONSO trust,200790165,1930577713,7257.6,3/13/2020,3/13/2020
NASH  foundation,200777735,1930577423,101705.92,3/13/2020,3/28/2020
WAL-MAR us,200769623,1930570577,50520.85,3/13/2020,5/20/2020
PUBLI in,200707822,1930577543,99456,3/13/2020,3/14/2020
RA associates,200704045,1930580668,75789.49,3/13/2020,3/15/2020
COSTCO foundation,140104429,-2147483648,11006.92,3/9/2020,3/25/2020
C&S WH systems,200762301,1930571169,9666.36,3/13/2020,3/8/2020
ASSOCI us,200719839,1930569831,762.32,3/13/2020,5/12/2020
KROGE ,200776463,1930576050,59406.19,3/13/2020,3/12/2020
SUPE in,200936373,1930567718,87234.68,3/13/2020,3/20/2020
TARG ,200744019,1930576165,12179.28,3/13/2020,3/14/2020
NASH  foundation,200777735,1930581131,44194.05,3/13/2020,3/14/2020
JETR corp,200705089,1930575310,9172.74,3/13/2020,3/14/2020
WAL-MAR trust,200769623,1930580742,6868.4,3/13/2020,3/12/2020
KING S in,200707005,1930559988,55159.01,3/13/2020,3/12/2020
SYSC trust,200331749,1930561916,23620.95,3/18/2020,3/7/2020
SA corporation,200759878,1930573797,4255.2,5/2/2020,3/9/2020
HAR foundation,200762950,1930576052,15180.83,3/13/2020,3/13/2020
SO trust,140104440,-2147483648,65058.62,3/17/2020,3/15/2020
TARG co,200744019,1930570195,46740.7,3/13/2020,3/8/2020
KRAFT  corporation,CCCA02,1930575468,13948.2,4/2/2020,3/28/2020
SYSCO corporation,200900909,1930576500,2193.91,3/13/2020,3/9/2020
COST co,200794332,1930571420,5621.79,3/13/2020,5/1/2020
PERISH foundation,200526831,1930576978,92292.3,3/13/2020,3/13/2020
WAL-MAR associates,200769623,1930576829,11005.11,3/13/2020,5/2/2020
PLAZA in,200978592,1990571614,61910.46,4/2/2020,3/8/2020
MCL associates,200799367,1930567477,14034.39,3/13/2020,3/23/2020
C&S WH associates,200762301,1930579061,5031.67,5/2/2020,3/9/2020
WAL-MAR corporation,200769623,1930567568,21970.26,5/2/2020,4/2/2020
MDV/ ,200792734,1930577190,87769.4,3/13/2020,3/8/2020
L&E IN associates,140103699,1991839730,52361.01,3/28/2020,4/28/2020
KRAFT  foundation,CCCA02,1930576366,8016,4/2/2020,4/9/2020
BJ'S  associates,200726979,1930573688,648.59,3/13/2020,3/13/2020
SMITHFIE corporation,100000222,1930570771,58234.39,3/13/2020,3/14/2020
DOLLA systems,200148860,1930571067,17207.85,5/2/2020,3/14/2020
KROGE associates,200776463,1930567736,15672.8,3/13/2020,3/8/2020
ARMY trust,200754118,1930567475,103411.16,3/13/2020,3/26/2020
TARG associates,200744019,1930576161,4439.55,5/2/2020,4/27/2020
SA co,200759878,1930571282,8510.4,5/2/2020,3/17/2020
ALBERT trust,200920735,1930576158,123145.02,3/13/2020,5/2/2020
PUBLI llc,200707822,1930579057,29751.36,3/13/2020,3/12/2020
JETR corp,200705089,1930575310,9172.74,3/13/2020,4/28/2020
GORDO associates,200782001,1930571515,69626.28,3/13/2020,3/14/2020
SYSCO  ,200764795,1930577709,4343.65,3/13/2020,3/12/2020
RICH systems,200956366,1930568673,52315.56,3/13/2020,3/9/2020
KROGER llc,200793513,1930573816,15673.6,3/13/2020,3/12/2020
CUSTOM ,200847305,1930570551,71826.75,3/8/2020,4/22/2020
COST in,200794332,1930567522,8793.09,3/13/2020,3/12/2020
HEARTHSI co,200399141,1930575949,41004.31,4/27/2020,3/13/2020
RESTA llc,200974851,1930575328,1600,3/13/2020,3/13/2020
SPAR corporation,200712187,1930578916,17430.25,3/13/2020,3/16/2020
SYGMA llc,200782669,1930565299,17698.91,3/13/2020,3/13/2020
WAL-MAR trust,200769623,1930571126,177.78,3/13/2020,3/8/2020
SA systems,200759878,1930574499,6382.8,5/2/2020,4/27/2020
WAL-MAR ,200769623,1930576564,1085.08,3/13/2020,4/27/2020
COST ,200794332,1930566819,6883.72,5/2/2020,3/13/2020
WINC associates,200706844,1930577053,14261.76,3/13/2020,3/13/2020
DOLLA systems,200148860,1930576133,14185.27,3/13/2020,3/13/2020
SAFEW in,200772595,1930581309,73787.3,3/13/2020,3/13/2020
BJ'S  co,200726979,1930575235,684.19,3/13/2020,5/10/2020
DOT us,200705742,1930576851,59098.46,4/1/2020,4/8/2020
WAL-MAR trust,200769623,1930575539,28577.94,3/13/2020,3/14/2020
TARG associates,200744019,1930566904,14283.6,3/13/2020,3/8/2020
T MA foundation,200827835,1930567234,17946.01,4/27/2020,3/13/2020
SPAR llc,200712187,1930577908,608.26,3/13/2020,4/28/2020
WAL-MAR ,200769623,1930570578,339.57,3/13/2020,3/18/2020
WAL-MAR trust,200769623,1930575196,16576.49,3/13/2020,3/9/2020
WAL-MAR ,200769623,1930570569,11833.75,3/13/2020,3/9/2020
KROGER foundation,200748108,1930569890,92684.09,3/13/2020,3/9/2020
SA foundation,200759878,1930571061,14235.87,3/13/2020,3/8/2020
SMITHFIE corporation,100000222,1930571225,102652.56,3/13/2020,3/13/2020
T MA foundation,200827835,1930567234,17946.01,4/27/2020,3/13/2020
W LEE  in,200737918,1930566677,52484.76,3/13/2020,3/13/2020
UNIFIE corporation,200792293,1930578937,19703.93,3/13/2020,6/19/2020
BJ'S  systems,200726979,1930570597,827.69,3/13/2020,3/3/2020
C&S WH ,200762301,1930579936,139542.8,3/13/2020,2/28/2020
MASTER ,100021540,1930576983,44777.04,3/8/2020,3/21/2020
WAL-MAR trust,200769623,1930577550,58847.61,3/13/2020,4/28/2020
SYSCO FO in,200780825,1930572206,24088.56,3/13/2020,3/19/2020
US  in,200700919,1930575292,16829.62,3/14/2020,3/14/2020
WAL-M associates,140106408,-2147483648,109747.59,3/11/2020,5/9/2020
WAL-MAR corp,200769623,1930567554,7589.54,3/14/2020,5/12/2020
BAUGH SU us,200434439,1930581739,73494.66,3/14/2020,3/12/2020
KROGER associates,200729290,1930581948,80685.62,3/14/2020,3/15/2020
AM systems,200418007,1930570983,5094.57,3/14/2020,3/16/2020
IND associates,100011958,1991839474,63342.34,4/13/2020,3/14/2020
WAL-MAR co,200769623,1930571068,15354.78,3/14/2020,3/20/2020
WAL-MAR llc,200769623,1930581720,10621.05,3/14/2020,4/2/2020
BEN E trust,200980828,1930578983,45136.7,3/19/2020,3/15/2020
WAL-MAR ,200769623,1930582904,59693.32,3/14/2020,3/14/2020
SA in,200759878,1930578860,108701.05,4/13/2020,3/11/2020
DOT ,200705742,1930582254,35172.38,4/2/2020,3/22/2020
SYSC corporation,140105686,-2147483648,350.25,3/16/2020,3/14/2020
LOB corporation,140104409,-2147483648,60728.96,3/9/2020,3/11/2020
GORDO us,200782001,1930577703,56324.5,3/14/2020,4/14/2020
BJ'S  systems,200726979,1930577587,298.58,3/14/2020,3/7/2020
KRAFT F in,CCU013,1930573751,4673.2,2/28/2020,3/11/2020
COST corporation,200794332,1930576176,6883.72,5/3/2020,8/1/2020
WAL-MAR systems,200769623,1930578973,74894.19,3/14/2020,3/23/2020
COST trust,200794332,1930576178,3431.73,5/3/2020,3/14/2020
WAL-M corporation,140106408,-2147483648,3352.84,3/10/2020,3/14/2020
BJ'S  associates,200726979,1930579957,236.76,3/14/2020,3/7/2020
SA in,200759878,1930577164,117607.67,4/13/2020,3/10/2020
BJ'S  systems,200726979,1930577587,298.58,3/14/2020,3/14/2020
KRFT FDS us,CCU002,1930565250,10337.28,4/3/2020,3/9/2020
KROGER corporation,200743123,1930577689,2646.76,3/14/2020,5/8/2020
US  corp,200493614,1930581830,13401.66,3/31/2020,3/8/2020
WAL-M ,140106408,-2147483648,30252.58,3/10/2020,3/22/2020
SMITH'S ,200466603,1930576280,16592.16,3/14/2020,4/19/2020
C&S WH corporation,200762301,1930575582,11597.09,3/14/2020,3/13/2020
DOT co,200705742,1930582986,37242.69,3/19/2020,4/13/2020
WAL-MAR corporation,200769623,1930580561,6532.6,3/14/2020,4/4/2020
WAL-MAR llc,200769623,1930581319,396.68,3/14/2020,3/14/2020
ASSOCIAT in,200772670,1930583598,46581.87,3/14/2020,3/15/2020
KENNETH foundation,200729828,1930581570,36193.02,3/14/2020,3/21/2020
ASSOCIAT corporation,200772670,1930580882,18739.22,3/14/2020,3/15/2020
SA foundation,200759878,1930576745,18900.99,3/14/2020,2/28/2020
SUGAR  us,200712102,1930581455,20946.13,4/28/2020,3/11/2020
FAR W trust,100031723,1930582037,100.17,3/29/2020,4/29/2020
KRAFT  us,CCCA02,1930576036,8496,4/3/2020,3/27/2020
BJ'S  in,200726979,1930582318,327.61,3/14/2020,3/8/2020
BJ'S  us,200726979,1930579919,271.11,3/14/2020,2/29/2020
WAL-MAR foundation,200769623,1930582201,45916.97,3/14/2020,3/11/2020
WAL-MAR foundation,200769623,1930577664,52917.9,3/14/2020,3/14/2020
CE foundation,200778998,1930576048,64847.12,3/14/2020,3/11/2020
SHOPPE associates,140105785,-2147483648,1793.46,3/14/2020,3/12/2020
C&S WH corp,200762301,1930580639,8599.83,3/14/2020,3/15/2020
KROGER in,200752302,1930580737,111640.79,3/14/2020,3/28/2020
FAMILY associates,200786288,1930581058,12967.81,3/14/2020,4/4/2020
GORDO systems,200782001,1930577942,14177.38,3/14/2020,3/15/2020
WAL-MAR ,200769623,1930577863,5.68,3/14/2020,3/20/2020
DOT systems,200705742,1930581679,19475.34,3/14/2020,3/17/2020
SPAR ,200712187,1930581700,10763.75,3/14/2020,3/15/2020
SYSC in,140105686,-2147483648,135.2,3/14/2020,4/10/2020
KROGER trust,200729290,1930581929,64565.93,3/14/2020,3/14/2020
WAL-MAR ,200769623,1930576743,52603.37,3/14/2020,3/14/2020
DOT co,200705742,1930582986,37242.69,3/19/2020,3/15/2020
AMAZO llc,100030194,-2147483648,3081.78,3/13/2020,3/27/2020
AFFILI co,200779051,1930571511,22078.68,3/14/2020,3/14/2020
KROGER us,200748108,1930582511,108344.2,3/14/2020,3/8/2020
DOLLAR trust,100001196,1930581009,36981.82,3/14/2020,3/18/2020
PUBLI us,200707822,1930566685,4248.4,3/14/2020,3/14/2020
ALBERT trust,200881076,1930581027,5622.85,5/3/2020,5/16/2020
D'ALB systems,140103470,1991839877,42505.08,3/29/2020,3/20/2020
KRAFT F us,CCU013,1930582069,16905,2/28/2020,3/19/2020
MASSY D trust,100053763,1991839863,50611.98,3/29/2020,3/13/2020
FR foundation,200705372,1930576911,25842.25,3/14/2020,3/11/2020
CORPOR systems,100024952,1991838551,33519.61,4/13/2020,3/15/2020
GILSTE corp,200724999,1930581046,45298.8,3/9/2020,4/30/2020
JET llc,200152991,1930580337,8247.88,3/14/2020,3/26/2020
J & J  trust,200382900,1930581152,113871.63,3/14/2020,3/15/2020
INTERR corporation,200580232,1930581454,41819.75,3/9/2020,4/3/2020
WAL-MAR corporation,200769623,1930580960,4585.55,3/14/2020,3/27/2020
BAUGH SU associates,200434439,1930577356,74697.48,3/19/2020,3/13/2020
SYSCO  co,200792283,1930579954,37816.26,3/14/2020,3/11/2020
COLABOR  corp,140104340,-2147483648,1911.04,3/10/2020,3/14/2020
WAL-MAR ,200769623,1930580892,63536.49,3/14/2020,3/11/2020
M B  ,200741174,1930583338,10378.25,3/14/2020,3/14/2020
SYSCO  associates,200714710,1930580214,109.61,3/14/2020,3/14/2020
WAL-MAR co,200769623,1930577238,10540.22,3/14/2020,3/11/2020
FEDER corporation,140104240,-2147483648,84664.68,3/18/2020,3/16/2020
RITE us,200781831,1930572413,96190.34,3/14/2020,3/11/2020
SCHNU associates,200747369,1930581872,1167.87,3/14/2020,3/18/2020
AM trust,200418007,1930577596,2655.72,5/3/2020,3/13/2020
LOB trust,140104409,-2147483648,63162.98,3/12/2020,3/15/2020
MEIJ us,200780383,1930576492,126256.45,3/14/2020,3/11/2020
KRAFT  co,CCCA02,1930577989,8496,4/3/2020,5/4/2020
SAFEW co,200772595,1930582059,3309.79,3/14/2020,3/19/2020
MID S corporation,100036062,1930582711,23847.8,3/9/2020,3/14/2020
GORDO co,200782001,1930576090,47334.16,3/14/2020,3/18/2020
BJ'S  llc,200726979,1930580197,13681.7,3/14/2020,3/10/2020
WAL-MAR corp,200769623,1930581039,8212.47,3/14/2020,5/3/2020
US  ,200778355,1930577203,32698.14,3/14/2020,3/13/2020
EDDY P trust,100019293,1930568159,28577.5,3/9/2020,3/4/2020
BE associates,200806580,1930577734,7860.82,3/14/2020,4/6/2020
TARG in,200744019,1930578663,129392.92,3/14/2020,3/18/2020
WAKE associates,200704858,1930576589,18367.81,3/14/2020,3/17/2020
SA associates,200729942,1930568141,21544.32,3/14/2020,3/18/2020
KRAFT  llc,CCCA02,1930580922,19756.8,4/3/2020,4/3/2020
BARGAIN  foundation,200290370,1930566796,5321.42,3/14/2020,3/18/2020
C&S WH trust,200762301,1930580505,1437.62,5/3/2020,3/11/2020
COST corp,200794332,1930566539,3859.64,3/14/2020,3/9/2020
H E BUT foundation,200761734,1930581108,72637.12,3/14/2020,3/11/2020
SA foundation,200759878,1930580482,14163.92,3/14/2020,3/19/2020
PUBLI trust,200707822,1930583146,112402.01,3/14/2020,3/14/2020
WAL-MAR co,200769623,1930571068,15354.78,3/14/2020,3/10/2020
US  systems,200943275,1930576658,3278.47,3/14/2020,3/13/2020
KRAS ,200770677,1930578799,105644.75,3/14/2020,3/30/2020
ALBERT associates,200881076,1930583595,80406.28,3/14/2020,3/14/2020
KRAFT F trust,CCU013,1930559781,5243.13,2/28/2020,3/12/2020
WAL-MAR associates,200769623,1930582587,14152.96,3/14/2020,3/11/2020
KROGER co,200875006,1930581485,112323.06,3/14/2020,3/13/2020
PEA corporation,200455322,1930571665,49292.55,3/29/2020,3/12/2020
TARG foundation,200744019,1930581703,36708.63,3/14/2020,3/14/2020
WAL-MAR corporation,200769623,1930578677,15087.31,3/14/2020,4/7/2020
WAL-MAR co,200769623,1930577182,4481.32,3/14/2020,3/18/2020
WAL-MAR llc,200769623,1930582212,37459.65,3/14/2020,5/3/2020
TARG llc,200744019,1930580439,65080.86,3/14/2020,5/4/2020
GORDON F in,140105847,-2147483648,79703.6,3/9/2020,3/14/2020
SHAWS  in,200275115,1930580924,20343.27,3/14/2020,3/15/2020
WAL-MAR corp,200769623,1930577185,49190.64,3/14/2020,2/26/2020
SA ,200759878,1930576860,15560.74,5/3/2020,3/5/2020
WAL-MAR foundation,200769623,1930577047,5507.47,3/14/2020,3/5/2020
WAL-MAR corp,200769623,1930571657,2676.35,3/14/2020,3/18/2020
SA corp,200759878,1930578788,19173.06,3/14/2020,3/13/2020
QUALITY C associates,100006311,1930581675,20175.8,3/14/2020,3/18/2020
ROADTOWN corporation,100049850,1991839920,12992.85,4/28/2020,3/6/2020
WAL-MAR trust,200769623,1930581374,21290.77,3/14/2020,4/24/2020
WAL-MAR foundation,200769623,1930571164,804.29,3/14/2020,5/10/2020
KRAFT  systems,CCCA02,1930572237,11625.12,4/3/2020,3/14/2020
SA ,200759878,1930579926,31914.01,5/3/2020,3/18/2020
WAL-MAR systems,200769623,1930572043,14848.17,3/14/2020,3/14/2020
WAL-MAR ,200769623,1930582678,4272.16,3/14/2020,3/14/2020
WAL-MAR corp,200769623,1930571167,146.58,3/14/2020,3/14/2020
MCLANE corp,200126819,1930568893,13845.6,3/14/2020,3/19/2020
WAL-MAR corporation,200769623,1930580960,4585.55,3/14/2020,3/18/2020
PIGGLY us,200793122,1930581237,71666.67,3/14/2020,3/13/2020
COLOME foundation,200825136,1990571902,84110.57,3/29/2020,3/13/2020
MONDE in,140142846,1930566859,2507.22,4/28/2020,4/1/2020
WAL-MAR llc,200769623,1930577149,14283.47,3/14/2020,3/14/2020
SA systems,200759878,1930575492,13459.79,3/14/2020,3/26/2020
WAL-MAR llc,200769623,1930568156,19875.77,3/14/2020,3/12/2020
WAL-M ,140106408,-2147483648,137339.86,3/10/2020,3/18/2020
SYSCO FO corp,200780825,1930576232,41712.95,3/14/2020,3/6/2020
BJ'S  corp,200726979,1930580452,413.87,3/14/2020,3/10/2020
GREC associates,200769072,1930552202,21106.23,3/14/2020,3/16/2020
ASSOCIAT corp,200772670,1930581621,45404.66,3/14/2020,3/5/2020
RUIZ F corporation,200212683,1930573570,41754.24,3/14/2020,4/28/2020
DO associates,100053542,1991838393,1737.6,3/15/2020,3/20/2020
C&S WH us,200762301,1930582774,23669.34,3/15/2020,3/19/2020
UNITE us,200799538,1930584573,79085.4,3/15/2020,3/12/2020
DOLLA trust,200148860,1930582996,14890.34,3/15/2020,3/15/2020
TARG associates,200744019,1930581718,28149.09,3/15/2020,3/11/2020
FAMILY co,200786288,1930581809,59426.28,3/15/2020,3/15/2020
WAL-MAR us,200769623,1930582236,39622.72,3/15/2020,3/19/2020
BJ'S  us,200726979,1930584334,269.86,3/15/2020,3/11/2020
BJ'S  co,200726979,1930584159,230.01,3/15/2020,3/6/2020
SA foundation,200759878,1930584245,65349.68,3/15/2020,3/19/2020
KRAFT  trust,CCCA02,1930582708,8352,4/4/2020,3/6/2020
WAL MA foundation,200501669,1990571903,16146.62,4/4/2020,3/12/2020
WINC llc,200706844,1930581270,52658.93,3/15/2020,3/14/2020
RA associates,200704045,1930584122,62659.23,3/15/2020,3/19/2020
WAL-MAR corporation,200769623,1930577836,1259.34,3/15/2020,3/26/2020
WAL-MAR us,200769623,1930580143,1898.2,3/15/2020,3/19/2020
PUBLI ,200707822,1930581893,71281.41,3/15/2020,4/4/2020
WAL-MAR us,200769623,1930583283,13065.2,3/15/2020,3/19/2020
SMITH'S us,200820380,1930582900,16722.97,3/15/2020,3/15/2020
WAL-MAR ,200769623,1930584501,33381.94,3/15/2020,3/12/2020
PUBLI in,200707822,1930575872,157832.59,3/15/2020,3/14/2020
WAL-MAR systems,200769623,1930581813,36161.28,3/15/2020,3/15/2020
TARG foundation,200744019,1930581347,18063.89,3/15/2020,3/19/2020
WAL-MAR associates,200769623,1930583342,471.56,3/15/2020,5/18/2020
SA corp,200759878,1930577661,28098,3/15/2020,4/3/2020
WAL-MAR corp,200769623,1930576189,15403.04,3/15/2020,3/15/2020
WAL-MAR llc,200769623,1930566975,70557.11,3/15/2020,4/11/2020
BJ'S  us,200726979,1930577345,13681.7,3/15/2020,3/24/2020
WAL-MAR foundation,200769623,1930581045,15423.9,3/15/2020,3/15/2020
WAL-MAR co,200769623,1930581333,44824.18,3/15/2020,3/15/2020
DOT co,200705742,1930582371,8427.11,4/3/2020,3/13/2020
BJ'S  corp,200726979,1930582987,496.14,3/15/2020,3/15/2020
SYSCO IN llc,100009932,1991839359,7680.49,3/30/2020,3/15/2020
WAL-MAR in,200769623,1930582028,5449.91,3/15/2020,3/19/2020
WAL-MAR corp,200769623,1930583007,1329.23,3/15/2020,3/15/2020
WAL-MAR us,200769623,1930582578,29150.31,3/15/2020,3/15/2020
COLABOR  corporation,140104340,-2147483648,13144.31,3/12/2020,4/9/2020
WAL-MAR ,200769623,1930580865,46681.44,3/15/2020,3/6/2020
SA in,200759878,1930582379,26870.03,3/15/2020,3/13/2020
WAL-MAR corp,200769623,1930584528,3797.1,3/15/2020,3/19/2020
BJ'S  llc,200726979,1930584349,245.54,3/15/2020,3/14/2020
G T  corporation,140106372,-2147483648,1730.67,3/13/2020,3/14/2020
WAL-MAR corp,200769623,1930585205,4081.52,3/15/2020,3/11/2020
PUBLI systems,200707822,1930584654,52428.5,3/15/2020,4/21/2020
BJ'S  trust,200726979,1930576671,515.56,3/15/2020,3/18/2020
WAL-MAR corporation,200769623,1930580976,57048.33,3/15/2020,3/11/2020
FLANAG systems,140104392,-2147483648,5161.34,3/14/2020,3/8/2020
WAL-MAR trust,200769623,1930583756,1898.9,3/15/2020,3/18/2020
WAL-MAR llc,200769623,1930583679,16372.95,3/15/2020,3/18/2020
WAL-MAR co,200769623,1930581334,65166.85,3/15/2020,3/17/2020
WAL-MAR in,200769623,1930580246,1329.23,3/15/2020,3/11/2020
IT foundation,140103621,1991838686,29210.47,5/14/2020,3/18/2020
TARG systems,200744019,1930581162,17812.07,3/15/2020,3/18/2020
WAL-MAR trust,200769623,1930584639,15551.04,3/15/2020,3/14/2020
BJ'S  trust,200726979,1930584251,886.25,3/15/2020,3/18/2020
KRAFT  systems,CCCA02,1930581989,15530.1,4/4/2020,5/7/2020
WAL-MAR us,200769623,1930584770,41357.14,3/15/2020,3/9/2020
TARG associates,200744019,1930581252,49923.42,3/15/2020,5/17/2020
MDV/ associates,200792734,1930582285,13250.85,3/15/2020,3/18/2020
KROGER trust,200752302,1930578882,17283.5,3/15/2020,3/18/2020
LOB corp,140104409,-2147483648,117597.49,3/13/2020,3/18/2020
TARG systems,200744019,1930576655,12068.24,5/4/2020,3/18/2020
WAL-MAR corp,200769623,1930580859,48063.69,3/15/2020,3/18/2020
WAL-MAR corp,200769623,1930580977,13232.64,3/15/2020,3/10/2020
KRAFT  corp,CCCA02,1930580528,19590.99,4/4/2020,3/20/2020
WAL-MAR corporation,200769623,1930582549,53458.67,3/15/2020,3/14/2020
LOB trust,140104409,-2147483648,150136.21,3/14/2020,3/18/2020
IT foundation,140103621,1991838686,29210.47,5/14/2020,4/7/2020
DOLLA ,200148860,1930580451,14610.98,3/15/2020,3/18/2020
SYSC corp,140105686,-2147483648,6313.05,3/20/2020,3/19/2020
WAL-MAR corporation,200769623,1930581088,13423.7,3/16/2020,3/19/2020
SYSC ,140105686,-2147483648,76498.52,3/13/2020,3/19/2020
WAL-MAR us,200769623,1930584436,15690.22,3/16/2020,6/30/2020
FAMILY in,200786288,1930584706,7987.9,5/5/2020,3/12/2020
WAL-MAR corp,200769623,1930576690,3403.8,3/16/2020,3/19/2020
WAL-MAR us,200769623,1930583067,10654.73,3/16/2020,3/14/2020
WAL-M llc,140106408,-2147483648,3460.43,3/11/2020,3/26/2020
ASSOCIAT trust,200772670,1930582859,26534.9,3/16/2020,3/7/2020
METRO  co,140104423,-2147483648,170755.57,3/14/2020,4/16/2020
COSTCO in,140104429,-2147483648,72903.12,3/14/2020,4/4/2020
WAL-MAR co,200769623,1930586406,60588.17,3/16/2020,3/15/2020
SA foundation,200759878,1930584398,12765.6,5/5/2020,5/4/2020
WAL-MAR in,200769623,1930580536,54543.16,3/16/2020,3/18/2020
ALVARE in,100055606,1991840301,6413.76,3/31/2020,4/3/2020
SA llc,200759878,1930581535,13703.12,3/16/2020,3/19/2020
WAL-MAR systems,200769623,1930583989,39892.7,3/16/2020,3/18/2020
KROGER us,200729290,1930584464,14572.31,3/16/2020,3/21/2020
